实体名称,中文名,中文名称,外文名,英文名称,简称,别名,国家代码,政治体制,国家领袖,首都,国土面积,所属洲,时区,货币,主要民族,主要宗教,主要城市,官方语言,国歌,国庆日,最大城市,国家象征,法律体系,行政区划代码,行政区类别,所属地区,地理位置,下辖地区,政府驻地,著名景点,著名学府,省长,省委书记,州长,参议员,市长,市委书记,县长,主要组织,包含国家
黑利,阿瑟·黑利,,Arthur Hailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿萨德,巴沙尔·阿萨德,,Bashar Assad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波拉克,画家波拉克,,Pollock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霍姆斯市,,霍姆斯市,,,,,,,,,,,,,,,,,,,,,,,叙利亚,,,,,,,,,,,,,,,
东古塔,东古塔,,East Guta,,,,,,,,,,,,,,,,,,,,,,,,大马士革东部郊区,,,,,,,,,,,,,
三亚,三亚市,,Sanya,,,崖州、鹿城,,,,,,,,,,,,,,,,,,460200,地级市,海南省,海南岛南部,4个市辖区,吉阳区,亚龙湾、三亚湾、天涯海角、南山、大小洞天、大东海、鹿回头,,,,,,,,,,
三亚市,三亚市,,Sanya,,,崖州、鹿城,,,,,,,,,,,,,,,,,,460200,地级市,海南省,海南岛南部,4个市辖区,吉阳区,亚龙湾、三亚湾、天涯海角、南山、大小洞天、大东海、鹿回头,,,,,,,,,,
费尔法克斯,费尔法克斯县,,Fairfax County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长崎县,,长崎县,,,,,,,,,,,,,,,,,,,,,,,一级行政区,日本国九州地方,地处日本九州岛西北部,长崎市等,长崎市,原爆纪念馆、眼镜桥等,,,,,,,,,,
佐世保市,,佐世保市,,,,,,,,,,,,,,,,,,,,,,,,日本长崎县,日本长崎县北部,,,九十九岛、展海峰,,,,,,,,,,
梅尔辛省,,梅尔辛省,,,,,,,,,,,,,,,,,,,,,,,省,土耳其南部地中海沿岸,,,,,,,,,,,,,,
斯卡伯勒,斯卡伯勒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海军基地,海军基地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
威克岛,,威克岛,,,,Halcyon Island,,,,,,,,,,,,,,,,,,,海外属地,美国夏威夷,"檀香山以西3,700公里",,,,,,,,,,,,,
平昌,平昌县,,Pingchang County,,,,,,,,,,,,,,,,,,,,,511923,县,"西南地区,四川省巴中市","四川东北部,米仓山南麓",3个街道、28个镇(截止2020年5月),同州街道新平街东段50号,驷马水乡、刘伯坚烈士纪念馆、镇龙山国家森林公园,,,,,,,,,,
马尔代夫,马尔代夫共和国[3] ,,"The Republic of Maldives,Maldives[3] ",,马尔代夫,,MDV,总统制共和制,易卜拉欣·穆罕默德·萨利赫,马累[3] ,9万平方公里(含领海面积)[3] ,亚洲,UTC+5,拉菲亚(Rufiyaa)[3] ,马尔代夫人,伊斯兰教-逊尼派,,迪维希语(Dhivehi)[3] ,《团结一致向我们的国家致敬》,1965年7月26日,,,,,,,,,,,,,,,,,,,,
沙乌地阿拉伯,,沙特阿拉伯王国[3] ,,Kingdom of Saudi Arabia,沙特阿拉伯、沙特,,SAU,君主专制政体,国王:萨勒曼·本·阿卜杜勒-阿齐兹,利雅得,"2,250,000平方公里",亚洲,UTC+3,沙特里亚尔[3] ,阿拉伯人,伊斯兰教-逊尼派,吉达、麦加、麦地那、达曼等,阿拉伯语[3] ,《我们敬爱的国王万岁》,9月23日[3] ,,,,,,,,,,,,,,,,,,,,
金茂大厦,上海金茂大厦,,Shanghai Jinmao Tower,,,,,,,,,,,,,,,,,,,,,,,,上海市浦东新区世纪大道88号,,,,,,,,,,,,,
广州市,广州,,"Guangzhou,Canton,Kwangchow",,,穗、花城、羊城、五羊城,,,,,,,,,,,,,,,,,,,地级市,中国华南地区,"广东省中南部,珠三角北部",11个市辖区,广东省广州市越秀区府前路1号,花城广场/广州塔/陈家祠/宝墨园/长隆旅游度假区/沙面/圣心大教堂,,,,,,温国辉,张硕辅,,,
珠三角,珠江三角洲,,Pearl River Delta,,,珠三角,,,,,,,,,,,,,,,,,,,都市圈、城市群,中国华南,广东省中南部,,,"白云山,西樵山,鼎湖山,万绿湖,罗浮山,中山纪念堂,沙湾古镇等",中山大学、华南理工、华南师范大学、暨南大学,,,,,,,,,
上海中心,上海中心大厦,,Shanghai Tower,,,,,,,,,,,,,,,,,,,,,,,,中国上海市陆家嘴金融贸易区,,,,,,,,,,,,,
东莞,东莞,,Dongguan,,,,,,,,,,,,,,,,,,,,,441900,地级市,广东省,"广东省南部,珠江口东岸","4个街道,28个镇",南城街道鸿福路99号,孙中山先祖故居、粤晖园、虎门炮台、袁崇焕纪念园、松山湖、可园,,,,,,,,,,
华阳礁,华阳礁,,"Huayang Reef,Cuarteron Reef",,,铜铳仔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴拉望岛,,巴拉望岛,,,,,,,,,,,,,,,,,,,,,,,,菲律宾巴拉旺省,菲律宾西南部,,普林塞萨港(Puerto Princesa),,,,,,,,,,,
东中国海,东海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地利,地利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼米兹,切斯特·威廉·尼米兹,,Chester William Nimitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东北航道,东北航道,,Northeast Passage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西昌卫星发射中心,西昌卫星发射中心,,Xichang Satellite Launch Center,,,西昌卫星城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南亚次大陆,南亚次大陆,,The South Asian Subcontinent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孟加拉湾,孟加拉湾,,Bay of Bengal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帕纳塔格礁,帕纳塔格礁,,Panatag Shoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日海,日海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓜达尔,,瓜德尔,,,,,,,,,,,,,,,,,,,,,,,地厅级(地级市),巴基斯坦俾路支省,,瓜德尔港口自贸区,,,,,,,,,,,,
德川市,,德川市,,,,,,,,,,,,,,,,,,,,,,,市,,,,,,,,,,,,,,,
特隆赫姆,特隆赫姆,,Trondheim,,,特隆海姆,,,,,,,,,,,,,,,,,,,,挪威,挪威西海岸中部,,,中心广场;尼德罗斯大教堂;皇家离宫;音乐史博物馆,,,,,,,,,,
滨海边疆区,,滨海边疆区,,,,,,,,,,,UTC +11,,,,,,,,,,,,边疆区/联邦主体(一级行政区),远东联邦管区,北纬42°至48°、东经130°至139°,"12个城市,25个区",符拉迪沃斯托克(海参崴) ,金角湾;罗斯岛;金桥,,,,米克卢舍夫斯基[5] ,,,,,,
纳霍德卡市,纳霍德卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南千岛群岛,,南千岛群岛,,,,,,,,,,,,,,,,,,,,,,,,俄罗斯萨哈林州南库里尔斯克市,千岛群岛南部,,,,,,,,,,,,,
鄂霍次克海,鄂霍次克海,,Sea of Okhotsk,,,,,,,,,,,,,,,,,,,,,,,,西北太平洋海区,,,,,,,,,,,,,
华东,,华东地区,,,,东部沿海地区、东南地区等,,,,,,,,,,,,,,,,,,,,中华人民共和国,中国东部,"沪,苏,鲁,浙,皖,赣,闽,台",上海、南京、杭州、合肥、福州、南昌、济南、台北,中山陵、上海外滩、杭州西湖、庐山、鼓浪屿、黄山、趵突泉等,,,,,,,,,,
苏岩礁,苏岩礁,,Suyan Islet,,,,,,,,,,,,,,,,,,,,,,,,中国东海北部,,,,,,,,,,,,,
卡纳维拉尔角空军基地,卡纳维拉尔角空军基地,,Cape Canaveral Air Force Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赵述岛,,赵述岛,,,,树岛、暗岛、船暗岛,,,,,,,,,,,,,,,,,,,社区,中国海南省三沙市,中国南海西北部,,赵述岛环岛路,,,,,,,,,,,
小野寺,小野寺小咲,,小野寺 小咲(おのでら こさき)Onodera Kosaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拉马拉,,拉姆安拉,,,,拉马拉,,,,,,,,,,,,,,,,,,,临时首都,巴勒斯坦中部,,,,"马纳拉广场,阿拉法特墓",,,,,,,,,,
安曼,,安曼,,,,,,,,,,,,,,,,,,,,,,,约旦首都,约旦北部,,,,"马卡鲁斯,死海,萨尔特古城,沙漠城堡",,,,,,,,,,
伯利,伯利,,Burley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安德森空军基地,安德森空军基地,,Andersen AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乌山,,乌石山、乌山,,,,,,,,,,,,,,,,,,,,,,,,,福建省福州市,,,摩崖石刻先薯亭乌塔,,,,,,,,,,
西海岸,西海岸,,West Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平壤市,平壤直辖市,,Pyongyang(英文)、평양 직할시(朝鲜文),,,西京、柳京、箕城、第一江山等,,,,,,,,,,,,,,,,,,,直辖市,朝鲜民主主义人民共和国,位于朝鲜半岛西北部、大同江畔,18个区域、2郡,,金日成广场、主体思想塔、千里马铜像、凯旋门、广法寺等,,,,,,,,,,
横滨,横滨,,"横浜,平假名:よこはま,罗马音:Yokohama",,,,,,,,,,,,,,,,,,,,,,政令指定都市,日本关东地区,"东经139°38,北纬35°26","西区,中区,神奈川区等",横滨市中区港町1丁目1番地,"横滨中华街,横滨港未来21",,,,,,,,,,
新斯科舍省,,新斯科舍省,,,,诺瓦斯克舍省,,,,,,,,,,,,,,,哈利法克斯,,,,一级行政区,加拿大,加拿大东南部,哈利法克斯、悉尼等,哈利法克斯,新斯科舍工业博物馆、新斯科舍维多利亚公园等,,达雷尔·德克斯特,,,,,,,,
哈利法克斯,哈利法克斯,,Halifax,,,"Hali, HFX, 中文简称:哈法",,,,,,,,,,,,,,,,,,,"哈利法克斯地区自治领(Halifax Regional Municipality, HRM)",新斯科舍省(Nova Scotia),加拿大大西洋沿岸 (Atlantic Canada),"哈利法克斯,达特茅斯,贝德福德,恩菲尔德,下塞克维尔,油菜港",哈利法克斯市阿盖尔街1841号,"哈利法克斯要塞,海洋博物馆,佩吉湾,泰坦尼克墓园,长湖公园",,,,,,,,,,
哈拉雷,哈拉雷,,Harare,,,索尔兹伯里,,,,,,,,,,,,,,,,,,,首都,津巴布韦,国境东北高原上,,,,,,,,,,,,,
雷凡培,雷凡培,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国白宫,白宫,,The White House,,,总统大厦、总统之宫,,,,,,,,,,,,,,,,,,,,美国华盛顿哥伦比亚特区,宾夕法尼亚大街1600号,,,,,,,,,,,,,
亚利桑那号战舰纪念馆,,亚利桑那纪念馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
釜山港,釜 山,,BUSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长白山,,长白山脉,,Changbai Mountains,,,,,,,,,,,,,,,,,,,,,,,辽吉黑东部和中朝边境东北部[7] ,,,,,,,,,,,,,
火海,火海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
密克罗尼西亚联邦,,密克罗尼西亚联邦,,The Federated States of Micronesia,密联邦,,FSM,联邦制,总统: 戴维·帕努埃洛(David W. Panuelo)[1] ,帕利基尔(Palikir),705平方公里,大洋洲,UTC+10至UTC+11,美元,密克罗尼西亚人,天主教、基督新教,科洛尼亚、维诺,英语,《我们在此宣誓》,11月3日,,,,,,,,,,,,,,,,,,,,
克里斯蒂安,克里斯蒂安,,Christian Fernandez Salas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茨城县,,茨城县,,,,,,,,,,,,,,,,,,,,,,,一级行政区,日本,位于日本关东地区东北部,水户市等,水户市,袋田瀑布等,,,,,,,,,,
土浦市,,土浦市,,,,,,,,,,,,,,,,,,,,,,,,日本,,,,,,,,,,,,,,
文尼察州,,文尼察州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北太平洋,北太平洋,,North Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新义州,新义州特别行政区,,신의주특별행정구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惠山市,惠山,,혜산(朝鲜语);Hyesan(英语),,,,,,,,,,,,,,,,,,,,,,"市,两江道首府",朝鲜两江道,朝鲜北部内陆的高原地带,惠山洞、惠滩洞、惠化洞等,,,,,,,,,,,,
柳条湖,柳条湖,,,,,,,,,,,,,,,,,,,,,,,,,,崇山路段与柳条湖街的交会处,,,,,,,,,,,,,
伊豆诸岛,,伊豆诸岛,,,,,,,,,,,,,,,,,,,,,,,,日本东京都,日本本州岛伊豆半岛东南部,,,,,,,,,,,,,
东马来西亚,,沙巴砂拉越(简称:沙砂),,,,东马来西亚,,,,,,,,,,,亚庇、山打根、斗湖、古晋、美里,,,,,,,,,马来西亚东部,加里曼丹岛北部,,,,,,,,,,,,,
金牛座,金牛座,,Taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咸镜北道,咸镜北道,,함경북도(朝)/North Hamgyong(英),,,咸北,,,,,,,,,,,,,,,,,,,道,朝鲜民主主义人民共和国,朝鲜东北部,3市、12郡、7区域、256里,清津市,长渊湖,,,,,,,,,,
方加陶法环礁,,方加陶法环礁,,,,,,,,,,大洋洲,,,,,,,,,,,,,海外自治领地,法属波利尼西亚,22°15′S 138°45′W,,,,,,,,,,,,,
吉州郡,吉州郡,,길주군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亚东县,,亚东县,,,,,,,,,,,,,,,,,,,,,,,县,西藏自治区日喀则市,日喀则市东南部,堆纳乡、吉汝乡、帕里镇、康布乡、上亚东乡、下亚东乡、下司马镇,下司马镇,"卓木拉日雪山,亚东沟",,,,,,,,,,
晋国,西晋,,Western Jin Dynasty,,晋,司马晋、中朝,,君主专制政体,司马炎、贾南风、司马颖、司马越,洛阳(266-313)、长安(313-316),5430000 km2,亚洲,,圆形方孔钱,汉族,道教、儒教、佛教,洛阳、长安、邺城、成都、建业,中古汉语,,,,,,,,,,,,,,,,,,,,,,
楚国,楚国,,Chu State,,,楚、荆[1] ,,,,,1500000 km2,,,郢爰、蚁鼻钱、布币,华夏族、蛮族、越人,,丹阳、鄀、鄢、陈、矩阳等,,,,,,,,,,,,,,,,,,,,,,,
新加坡海峡,新加坡海峡,,Singapore Strait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白翎岛,白翎岛,,Baengnyeongdo,,,,,,,,,,,,,,,,,,,,,,,,朝鲜和韩国北方分界线附近,,,,,,,,,,,,,
吉布提港,吉布提港,,FUEL AND DIESEL OIL SAME AS JIBOUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纪伊半岛,纪伊半岛,,きいはんとう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
库纳尔省,,库纳尔省,,,,,,,,,,,,,,,,,,,,,,,省,阿富汗,,, 阿萨达巴德市,,,,,,,,,,,
佐世保,,佐世保市,,,,,,,,,,,,,,,,,,,,,,,,日本长崎县,日本长崎县北部,,,九十九岛、展海峰,,,,,,,,,,
郁陵岛,,郁陵岛,,,,羽陵岛,,,,,,,,,,,,,,,,,,,,韩国-庆尚北道,,,,罗里盆地 锥山一家 圣人峰,,,,,,,,,,
民丹岛,,民丹岛,,,,Pulau Bintan/Negeri Segantang Lada,,,,,,,,,,,,,,,,,,,岛屿,印尼寥内群岛,东南亚,,首府丹绒槟榔 Tanjung Pinang,红树林、民丹宝湾、胜卡琅华人渔村、大象园、丹戎槟榔,,,,,,,,,,
班公湖,班公湖,,拉达克语:Pangong Tso,,,,,,,,,,,,,,,,,,,,,,,,西藏阿里日土县,,,鸟岛,,,,,,,,,,
摩苏尔,摩苏尔,,Mosul,,,al-Hadba,,,,,,,,,,,,,,,,,,,省,伊拉克尼尼微省,伊拉克北部,,,"凯比尔清真大寺,艾玛韦德清真寺",,,,,,,,,,
尼尼微省,尼尼微省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塔拉法尔,,塔拉法尔,,,,,,,,,,,,,,,,,,,,,,,,塔拉法尔县,"圣地牙哥岛北岸,距离首都培亚70公里",,,,,,,,,,,,,
基尔库克省,,基尔库克省,,,,塔米姆省,,,,,,,,,,,,,,,,,,,省,伊拉克,,基尔库克,基尔库克,,,,,,,,,,,
安巴尔省,,安巴尔省,,,,,,,,,,,,,,,,,,,,,,,省(伊拉克),伊拉克,伊拉克西部,,拉马迪,,,,,,,,,,,
岛根县,,岛根县,,,,,,,,,,,,,,,,,,,,,,,一级行政区,日本,位于日本本州岛的西南部,松江市等,松江市,出云大社、松江城等,,,,,,,,,,
广岛县,,广岛县,,,,,,,,,,,,,,,,,,,,,,,,日本,位于日本国本州岛西南部,广岛市等,广岛市,严岛神社、平和纪念公园等,,,,,,,,,,
咸镜南道,,咸镜南道,,,,,,,,,,,,,,,,,,,,,,,道,朝鲜东北部,,咸兴市、兴南市、新浦市,咸兴市,玉莲山、龙兴寺,,,,,,,,,,
马养岛,马养岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
马杜罗,尼古拉斯·马杜罗,,Nicolás Maduro Moros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彭亨州,,彭亨州,,,,,,,,,,,,,,,,,,,,,,,州(马来西亚一级行政单位)[2] ,马来西亚[2] ,马来西亚半岛东部[2] ,关丹、北根、云冰,关丹市,金马仑高原、云顶高原、刁曼岛海洋公园,,,,,,,,,,
东海岸铁路,东海岸衔接铁道(简称:东铁),,East Coast Rail Link(ECRL)[5] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新山,,新山,,,,柔佛巴鲁、小汕头[1] ,,,,,,,,,"马来人,华人,印度人",,,,,,,,,,市,柔佛州,马来半岛南端,,,苏丹阿布峇卡皇宫、新山华族历史文物馆、柔佛古庙等,,,,,,,,,,
川崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关岛军事基地,关岛海军军事基地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰安郡,泰安郡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萨拉赫丁省,,萨拉赫丁省,,,,,,,,,,,,,,,,,,,,,,,省,,伊拉克北部,,提克里特,,,,,,,,,,,
柳州,柳州市,,Liuzhou,,,龙城、壶城、奇石城,,,,,,,,,,,,,,,,,,,地级市,中国华南地区,广西壮族自治区中北部,5个区、3个县、代管2个自治县,城中区文昌路66号,大龙潭风景区、柳侯公园、百里柳江、卡乐星球主题乐园等,广西科技大学、柳州铁道职业技术学院,,,,,,,,,
卢沟桥,卢沟桥,,Lugou Bridge,,,,,,,,,,,,,,,,,,,,,,,中国北京市丰台区永定河,,,,,,,,,,,,,,
苏比克湾,苏比克湾,,Subic Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
井冈山,井冈山,,Jing Gangshan,,,,,,,,,,,,,,,,,,,,,,,,江西省吉安市井冈山市,,,,,,,,,,,,,
东海岛,东海岛,,East Island,,,,,,,,,,,,,,,,,,,,,44081107,市辖经济技术开发区,广东省湛江市,雷州半岛东部,东山、民安、东简三街道办,麻章区东海大道东海大厦,中国第一长滩、龙水岭等,,,,,,,,,,
德积岛,德积岛,,Deokjeok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慈江道,,慈江道,,,,,,,,,,,,,,,,,,,,,,,道,朝鲜民主主义人民共和国,朝鲜西北部,3市、15郡、235里、65洞、17劳动地区,江界市,圆明寺、洗剑亭,,,,,,,,,,
北苏拉威西省,,北苏拉威西省,,,,,,,,,,,,,,,,,,,,,,,省,,苏拉威西岛东北部的米纳哈萨半岛,,,,,,,,,,,,,
马拉维市,,马拉维市,,,,,,,,,,,,,,,,,,,,,,,省会,菲律宾棉兰老岛,,,,,,,,,,,,,,
马拉维,马拉维共和国[2] ,,The Republic of Malawi[2] ,,马拉维,,MWI,总统制共和制,总统:拉扎勒斯·查克维拉[2] ,利隆圭[2] ,118484 km2[2] ,非洲,UTC+2,马拉维克瓦查[2] ,尼昂加族、奇切瓦族、尧族,基督新教、天主教、伊斯兰教,布兰太尔,英语[2] ,《上帝保佑马拉维》,1964年7月6日,,,,,,,,,,,,,,,,,,,,
伊曼,夏奈尔·伊曼,,Chanel Iman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斯特拉福,斯特拉福,,Stratford-upon-Avon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西,陕西,,Shaanxi,,,陕、秦、三秦,,,,,,,,,,,,,,,,,,610000,省,中国西北地区,西部内陆腹地,10个地级市、30个市辖区、6个县级市、71个县,西安市新城区新城大院,兵马俑、法门寺、华山、太白山、黄帝陵、大雁塔、长城等,,,,,,,,,,
提斯浦尔,,提斯浦尔,,,,,,,,,,,,,,,,,,,,,,,城市,印度阿萨姆邦,布拉马普特拉河畔,,,,,,,,,,,,,
达旺,,达旺地区,,,,,,,,,,,,,,,,,,,,,,,西藏自治区山南市错那县,中国藏南里的门隅地区,,,,,,,,,,,,,,
东海防空识别区,中华人民共和国东海防空识别区,,,,,东海防空识别区,,,,,,,,,,,,,,,,,,,防空识别区,中国东海,,,,,,,,,,,,,,
赤尾屿,赤尾屿,,Chiwei Yu,,,赤屿、赤坎屿、赤尾山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内海,内海,,Inland Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海,北海,,Beihai(英)、Bwzhaij(壮)、Pakhoi(邮政式拼音),,,珠城,,,,,,,,,,,,,,,,,,450500,地级市,中国华南,广西壮族自治区东南部沿海,海城区、银海区、铁山港区、合浦县 ,北海市海城区,北海银滩、涠洲岛、北海老街、星岛湖、山口红树林自然保护区,,,,,,,,,,
喀什米尔,克什米尔,,英文:Jammu and Kashmir;印地语:कश्मीर;乌尔都语:کشمیر,,,查谟和克什米尔,,,,,,,,印度卢比、巴基斯坦卢比,,,,,,,,,,,,,南亚西北部,,,喜马拉雅山脉、乔戈里峰、帕尔巴特峰、查谟丘陵、卢姆河,,,,,,,,,,
南澳,南澳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福冈县,福冈县,,英文:Fukuoka-ken;日文ふくおかけん,,,,,,,,,,,,,,,,,,,,,,一级行政区,日本九州,日本九州岛北部,"福冈市,北九州市等",福冈市,福冈塔、河内藤园、八幡制铁所、福冈巨蛋、小仓城等,,,,,,,,,,
福冈,福冈县,,英文:Fukuoka-ken;日文ふくおかけん,,,,,,,,,,,,,,,,,,,,,,一级行政区,日本九州,日本九州岛北部,"福冈市,北九州市等",福冈市,福冈塔、河内藤园、八幡制铁所、福冈巨蛋、小仓城等,,,,,,,,,,
宗像市,,宗像市,,,,,,,,,,,,,,,,,,,,,,,,福冈县北部的一个城市,北九州市与福冈市中间,,,,,,,,,,,,,
拉顿,拉顿,,ラドン,,,Rodan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉布提共和国,吉布提共和国,,The Republic of Djibouti,,吉布提,,DJI,总统制共和制,总统:伊斯梅尔·奥马尔·盖莱,吉布提市(Djibouti),23200 km2[3] ,非洲,UTC+3,吉布提法郎,伊萨族、阿法尔族,伊斯兰教,阿尔塔、塔朱拉等,法语、阿拉伯语,《Djibouti》,1977年6月27日,,,,,,,,,,,,,,,,,,,,
吉布提市,,吉布提市,,,,,,,,,,,,,,,,,,,,,,,首都,,非洲东北部的亚丁湾西岸,,,,,,,,,,,,,
底格里斯河,底格里斯河,,Tigris River,,,,,,,,,,,,,,,,,,,,,,,,阿拉伯半岛东部,,,两河文明遗迹,,,,,,,,,,
科迪亚克岛,科迪亚克岛,,,,,,,,,,,,,,,,,,,,,,,,,,美国阿拉斯加州,,,,,,,,,,,,,
怀俄明州,,怀俄明州,,,,,,,,,,,,,,,,,,,,,,,州,美国,位于美国西部落基山区,夏延、卡斯珀、拉勒米,夏延,"黄石国家公园,大狄顿国家公园",,,,,,,,,,
碧岛,,碧岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈马省,哈马省,,Ham&amp;acirc;h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金刚郡,,金刚郡,,,,,,,,,,,,,,,,,,,,,,,,,"太白山脉西麓,南邻大韩民国江原道",,,,,,,,,,,,,
巴布亚省,,巴布亚省,,,,,,,,,,,,,,,,,,,,,,,省,印度尼西亚,位于印尼版图最东边,西部新几内亚,查亚普拉(Jayapura),,,,,,,,,,,
喀土穆,,喀土穆,,,,,,,,,,,,,,,,,,,,,,,首都,苏丹,,喀土穆、北喀土穆、恩图曼,,第六瀑布、沙巴罗加峡,,,,,,,,,,
达沃市,,达沃市,,,,“棉兰老明珠”“硅湾”,,,,,,,,,,,,,,,,,,,市,达沃大区,棉兰老岛东南部,,,,,,,,,,,,,
阿拉伯联盟,阿拉伯国家联盟,,League of Arab States,,阿盟(LAS),,,,,,,,,,,,,阿拉伯语,,,,,,,,,,,,,,,,,,,,,,
峨眉,,峨眉山,,,,,,,,,,,,,,,,,,,,,,,,,"中国四川省西南部,四川盆地的西南边缘[1] ",,,七里坪、万佛顶、报国寺、伏虎寺、峨眉十景,,,,,,,,,,
贵阳,贵阳,,"英文:Guiyang/Kweiyang,苗文:Gex lox gex sangd",,,林城、筑城,,,,,,,,,,,,,,,,,,,地级市、省会,中国西南地区,中国西南部,6个区、3个县、代管1个县级市,观山湖区林城东路7号,黔灵山、青岩古镇、花溪公园、小车河、甲秀楼、天河潭等,,,,,,陈晏[20] ,赵德明,,,
屋久岛,屋久岛,,日文名:屋久島;英文名:Yakushima,,,,,,,,,,,,,,,,,,,,,,岛屿,九州,东海大隅诸岛,熊毛郡屋久町、上屋久町,,白谷云水峡、大川瀑布,,,,,,,,,,
津轻海峡,津轻海峡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
范登堡空军基地,范登堡空军基地,,Vandenberg Air Force Base,,,,,,,,,,,,,,,,,,,,,,,,美国加利福尼亚州,,,,,,,,,,,,,
江陵,江陵,,Jiangling city,,,荆州城  郢都  南郡,,,,,,,,,,,,,,,,,,,市辖区,湖北省荆州市,湖北省中南部,"2个街道、7个镇,另设有1个管委会、2个管理区",荆州市荆州区西城街道荆州中路80号,荆州古城、楚王车马阵、关公庙、玄妙观、荆州博物馆、张居正故居,,,,,,,,,,
南京军区,中国人民解放军南京军区,,Chinese PLA Nanjing Military Region,,南京军区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三宝颜市,,三宝颜市,,,,,,,,,,,,,,,,,,,,,,,,菲律宾,棉兰老岛的西南方,,,,,,,,,,,,,
韩国战争纪念馆,韩国战争纪念馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金刚山,金刚山,,"Mountain Kumgang,금강산",,,,,,,,,,,,,,,,,,,,,,,,朝鲜、韩国交界,,,,,,,,,,,,,
