实体名称,中文名,外文名,别名,性别,国籍,民族,祖籍,出生地,出生日期,职业,职务,职称,所属政党,政党,语言,净资产,毕业院校,学历,信仰,主要成就,代表作品,父母,妻子,人物评价,人物影响,对华关系,对华政策,政见,立场,军衔
黄伟强,黄伟强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汪涛,汪涛,,,女 ,中国,,,,,经济学家,,,,,,,,,,,,,,,,,,,,
赵美心,赵美心,Judy May Chu,,,美国,汉族,,美国加利福尼亚州洛杉矶市,1953年7月7日,美国国会议员,,,,,,,,,美国民主党,美国第一位华裔女性国会议员,,,,,,,,,,
孟昭文,孟昭文,Grace Meng,,,,,,美国纽约市皇后区,1975年10月1日,律师,,,,,,,,,,,,,,,,,,,,
米特·罗姆尼,威拉德·米特·罗姆尼,Willard Mitt Romney,,男,美利坚合众国,,,密歇根州底特律,1947年3月12日,"政治家,企业家",,,,共和党,,,"哈佛大学,杨百翰大学",,摩门教,曾挽救严重亏损的盐湖城冬奥会马萨诸塞州第70任州长2012年美国总统候选人,,,,,,,,,,
阿奇,,Joseph Arch,,,,,,沃里克郡,1826,,,,,,,,,,,,,,,,,,,,,
乔治·W·布什,乔治·沃克·布什,George Walker Bush,小布什,,美国,美利坚民族,,康涅狄格州纽黑文,1946年7月6日,,政治家、商人,,美国共和党,,,,哈佛商学院,,基督教新教卫斯理宗,2001年至2009年担任第43任美国总统2000年和2004年两度登上《时代周刊》年度风云人物推翻塔利班政权并铲除基地组织势力推翻萨达姆政权,《抉择时刻》,,,"小布什看到了恐怖主义活动的邪恶，他将继续坚持一贯的打击恐怖主义政策，使美国变得更加安全。  （纽约前市长鲁迪·朱利安尼评）
在美国的总统历史上，多数总统在卸任后仍然获得人们的尊敬，而小布什却给出了反例。  （英国《泰晤士报》评）
与林登·约翰逊相比，他缺少了野心；与理查德·尼克松相比，他缺少了勤奋；与吉米·卡特相比，他缺少了原始真挚的理想主义；与前任比尔·克林顿相比，他缺少了导致自我堕落的罪恶欲望。与他的诸多前任相比，小布什显得更加简单和平凡，或许，正是因为他所处的时代就是一个简单而平凡的时代，才使得小布什最终成为了美国总统。   （《纽约时报》华盛顿分部记者法兰克·布鲁尼评）",,,,,,
罗纳德·里根,罗纳德·威尔逊·里根,Ronald Wilson Reagan,罗尼(昵称),,美国,,,伊利诺伊州坦皮科,1911年2月6日,"政治家,演员",,,,共和党,,,伊利诺伊州尤里卡学院,,基督教,第33任美加州州长(1967-1975)第40任美国总统(1981-1989)2005年“最伟大的美国人”位列榜首1993年荣获总统自由勋章,《里根自传》,,,"里根在某些方面的成就大于富兰克林·罗斯福的成就。里根成功关键在于他有能力恢复美国人民对他们自己国家的信心。里根也被称作是“伟大的沟通者”，他是继富兰克林·罗斯福之后最具说服力的政治演说家，其演讲融合了信念、专注、幽默，同代人中无一能与之比肩。里根倾向右翼，他在美国政坛重振了保守主义，里根在政治理念上是强硬的保守主义。   （《里根传》作者 H·W·布兰兹 评）
从平民到总统，里根完美地体现了“美国梦”。里根不仅富有魅力，还能言善辩，演说水平高，话语很有煽动性和感染力。  （文史天地》评）
相对福特等相对处于弱势地位的总统，里根是一位有个人魄力和鹰派作风的相对强势的总统。里根处理与美国政治中的其它因素的关系上，也基本上处于强势地位。如与媒体和公共舆论的关系，里根处理得较好，他很善于同公众打交道，也很善于跟媒体打交道。尽管总体上说，里根是一位强势总统，但绝没有“帝王般总统”的权势，相反很多时候，他只是一位说服者，是一位政治掮客，是一位各方利益的平衡器。  （《台湾研究集刊》评）
里根是个直言不讳的极端保守派，长期以来就是共和党的右翼宠儿。 （美国的历史学家阿瑟·林克评）",,,,,,
贝拉克·奥巴马,贝拉克·侯赛因·奥巴马,Barack Hussein Obama,巴拉克·欧巴马;奥巴马(简称),,美国,非裔美国人,,美国夏威夷州檀香山市,1961年8月4日,政治家,,,,,,,哥伦比亚大学、哈佛大学[1] ,,基督新教,2008、2011年时代周刊年度风云人物第44任美国总统(第56-57届)2009年获诺贝尔和平奖,《我们相信变革》、《我父亲的梦想》、《无畏的希望》,,,"正面评价
奥巴马作为总统在国际政治中营造了一种新的氛围。在获得整个世界关注和给民众以更美好未来的希望方面，极少有人达到奥巴马这样的程度。（诺贝尔奖委员会官网评）
作为第一个担任美国总统的非洲裔美国人，奥巴马为美国人民树立了榜样，而他也给美国政坛带来了一种新的阶级观念。在他担任总统期间，白宫甚至连个人丑闻这样的事情都未曾发生过。在奥巴马担任总统的绝大多数时间里，白宫一直将一种成熟稳健的成年人风格展示给外界。（凤凰网评） 

负面评价
奥巴马是美国历史上最糟糕的总统。（美国前总统克林顿评）
奥巴马是“陷入僵局的总司令”。 （《纽约邮报》评）
奥巴马以“失败的政治家”和“无法坚持自己立场”而入选“最无影响力名人”。专家们认为，奥巴马承诺的太多，讲得很华丽，实际上却什么也没有做。因为不成功的医保改革、移民政策及不善于维护自己在国际政治中的地位，尤其是在处理叙利亚问题时的失误，使得奥巴马的执政路变得相对坎坷。  （俄罗斯《今日报》评）","奥巴马总统图书馆
2015年4月30日，在美国城市芝加哥创建以美国总统巴拉克·奥巴马命名的图书馆；同年5月，奥巴马基金会确认“奥巴马总统图书馆”落户于他曾经长期执教的芝加哥大学。",,,,,
林乔安,林乔安,,,,,,,,,歌手,,,,,,,,,,,《心痛》,,,,,,,,,
张明,张明,zhangming,,,中华人民共和国,汉族,,,,主持人,,,,,,,复旦大学,,,,,,,,,,,,,
刘尚希,刘尚希,,,,中国,,,湖南省桃江县,1964年9月,,,,,,,,中南财经政法大学、中国人民大学,,,,,,,,,,,,,
马骏,马骏,,,,中国,,,辽宁沈阳,1953年,军人、教授,中国人民解放军国防大学战略教研部教授,,,,,,北京大学,,,中国第二次世界大战史研究会副会长,,,,,,,,,,
Levi,刘威,,,男,中国,汉族,,,,"歌手,演员,主持人[1] ",,,,,,,,,,,简简单、遇见你、咱俩结婚吧,,,,,,,,,
杰伊·英斯利,杰伊·英斯利,Jay Robert Inslee,,,美国,,,美国华盛顿州西雅图市,1951年2月9日,,美国华盛顿州第23任州长,,,,,,"华盛顿大学 经济学学士,威廉姆特(Willamette)大学法学学位",,,,,,,,,,,,,
徐巧芯,徐巧芯,Xu Qiaoxin,,,中国,汉族,,台湾省台北市,1989年,,中国国民党中央常务委员,,,中国国民党,,,台湾政治大学,,,,,,,,,,,,"徐巧芯表示，过去陆生常挑战台湾同学对两岸问题的观点，把问题尖锐化造成尴尬，现在比较能接受不同的观点，不会争得面红耳赤、剑拔弩张。有的陆生愿意站在台湾“ 九二共识、 一中各表”的立场看问题，愿意尊重台湾同学的看法。
徐巧芯分析，即使是挺绿的台湾同学对两岸交流的看法也逐涉开放，因为大家都有大陆的朋友，认为增进交流，彼此了解是件好事，也不反对陆生纳入健保。在她所接触的学生来讲，不分政党支持者，在两岸政策这一块相对来讲是比较支持国民党的。
有些陆生对台湾的政治发展有兴趣，喜欢拿 陈水扁与马英九作比较，肯定马上任后大幅开放两岸交流，对于松绑陆生入台限制修法被卡关，也比较理性的认定是民进党阻挠 杯葛所致。
有些陆生会表达对台湾政治现况的看法与观察，但多数都尊重台湾同学的观点，认为民主选举是好制度，台湾不容易改变，但大陆现阶段不适合实施民主，而非过去彻底否定民主选举制度。陆生对国际新闻、时事议题也多所关注，经常会举德国、法学学者的研究理论或文献。台湾同学多半会提美国学者的理论，这可能是两岸的教授留学地各有不同的关系，台湾的教授多半留美，大陆的教授不少是留学欧洲，所以两岸的学生接触的资讯也有差别：
在学校碰到的 陆生多半以交换生为主，开学时不会刻意介绍谁从大陆来研究、念书。但很容易分辨，陆生上课时喜欢坐前面，与老师互动较多。比较直率，喜欢发问、表示看法，研究文献的兴趣蛮高的，与老师的互动多在课堂上，日后也比较会想走研究。台生上课会勤作笔记，下课后私下找老师请益，所以与老师互动都在课堂后，而且台生念书讲求如何应用，多半会想毕业后的就业问题；
两岸的学生同质性愈来愈高，台湾同学只要不断追求自我创新，就不必担心两岸竞争力的问题。
两岸青年、学生交流有不少的大学或是两岸交流的协会在进行，这些单位为避免困扰，也不会和国民党青年团挂名合办。加上一般民众的观感与社会氛围，所以青年团今年主要任务是落实对社会的关怀，未来民生状况、经济发展都比较稳定时，才会考虑率青年团访问大陆。但两岸学生交流是好事，多交流才能了解两岸关系在社会、在年轻人的观念里究竟是什么样貌。",
"

特里",约翰·特里,John Terry,J.T,,英格兰,,,英格兰东伦敦巴金,1980年12月7日,,,,,,,,,,,,,,托尼·普尔,"他这么年轻却如此胜任队长职务，队友对特里充满敬佩，让人难以置信。很多新外援来的时候，都不敢相信他才24岁，他让切尔西全队充满了凝聚力   。（乔·科尔评 ）特里总是有重要的态度，参加每一场比赛，从不受伤。在空中球上很好

，铲球很好，比（中后卫位置上的）任何人打进更多的球。约翰·特里是中后卫这个位置上世界最好的。（2006年4月何塞·穆里尼奥评 ）约翰·特里的慎重、主动性和热情感动了我。这个级别的球员通常不是非常敏感的，甚至很难感谢人。约翰（在切尔西队）里得到了机会，因为他争取到了。当我来到切尔西时，我对他的第一印象是：他完全是一名英格兰球员，他有不可思议的进步潜力。可以说他是国际一流的，我为他而骄傲 。（克劳迪奥·拉涅利评）
约翰·特里能成为英格兰队的新队长，绝大部分是由约翰的重要性格所决定的。队长是重要的一员，而他是球队的驾驭者。（2008年8月英格兰队主教练法比奥·卡佩罗评）如果约翰·特里在场的话，整支球队会从他的身上得到另外的10%能力。约翰不当队长时就是一名差一点的球员，然而自从他小在球场上做领袖后，他发号施令，组织其他球员，他每一次都凝聚球队的力量  。（前任英格兰队主教练斯蒂夫·麦克拉伦评）
作为一名世界级中卫，特里在球场上强悍硬朗却又不失冷静，从容的表现受到了媒体高度的赞赏，他也是当今世界足坛最顶级的中后卫之一。特里拥有优秀领导者所具备的一切才能。很多球员都称特里让他们想到了托尼·亚当斯——英格兰队历史上最伟大的队长之一  。（环球网评）
约翰·特里具有天生的领袖气质、高大强壮、铲截凶狠、空中优势无与伦比。作为中后卫，踢法强悍硬朗，属于支柱型后卫。身体高大强壮，防空能力十分出色。强悍的防守是他的招牌，强势的头球是他的独家秘笈，是世界级中后卫。极具领袖气质，意志坚强，善于在危机时刻以卓越的表现带领球队取得胜利   。（新浪网评）",,,,,,
李洪,李洪,HongLee,男,,美国,满族,,北京,1968年6月28日,设计师,,,,,,,,,,,《龙族》《功夫熊猫》《绿灯侠》《美少女特工队》,,,,,,,,,
加布里埃尔,加布里埃尔·保利斯塔,Gabriel Paulista,加布兽,,巴西,,,圣保罗,1990年11月26日,,,,,,,,维多利亚青训系统,,,,,,,“我并不对保利斯塔说的话感到生气。任何球员都可以表达他们的观点。这是他的思考和行为方式。这小伙子棒极了，他是职业球员的楷模。这儿有他的一席之地，他也想继续在这证明自己的价值。”  （比利亚雷亚尔主教练马塞利诺·加西亚评）,,,,,,
林松添,林松添,,,,中国,汉族,,,1960年5月,外交官,,,,,,,外交学院,,,,,,,,,,,,,
科林森,科林森,,,男,威尔士,,,,1988年10月2日,,,,,,,,,,,,,,,,,,,,,
王华,王华,,实庵,,,汉族,,浙江余姚,1446年,,,,,,,,,,,成化十七年状元[1] 精通礼、春秋、易。明朝著名诗人儿子王守仁,"《龙山稿》,《垣南草堂稿》等",,,"《王守仁评传》评道：为官20余年，为人仁恕坦直，平生无矫言伪行，对人无尊卑贵贱，相待如一，凡谈笑言议，皆由衷而发。人有片善，就称不绝口。有急难来相求的，则极力帮助救济。而对别人的过恶，则直言规劝，不肯护短。又性至孝，对父竹轩公及母岑太夫人，色爱之养，无所不周。虽无突出建树，但颇有节操，为官有清名，很得社会舆论的好评。后因与大宦官刘瑾不和，被勒令辞职。高年犹寝苫蔬食，哀毁逾节，以致染疾，卧床逾年。 
李鸿章自题对联中道：老子婆娑看儿曹，整顿乾坤，当代重逢王海日；吾皇神武安天下，扫除纷乱，家祭无忘陆放翁。（注：王华晚年号海日翁）
《皇明贡举考》卷五：陈氏鎏评王华、李旻二状元文章：王深造诣，李优才致。 
王华的同榜进士榜眼黄珣在王守仁登第后写诗给王华赞道：《贺年侄王伯安登第》：“羡我同年老状头，贤郎名位颇相侔。龙山佳气重重见，舜水恩波滚滚流。调味查梨同入鼎，济川桥梓共为舟。相看尽道登科乐，却合同担廊庙忧。” ",,,,,,
何毓琦,何毓琦,Yu-Chi Ho,,男,美国,汉族,浙江诸暨,中国上海,1934年3月1日,教育科研工作者,,,,,,,哈佛大学,,,1988年当选为美国国家工程院院士2000年当选为中国工程院外籍院士2000年当选为中国科学院外籍院士,《应用最优控制》《大规模系统的方向》,,,何毓琦在系统控制科学及工程领域，包括最优控制、微分对策、团队轮、离散事件动态系统及智能系统等重要领域，做出了杰出贡献，是动态系统现代控制理论的创导者之一 。（清华大学评）,何毓琦为鼓励中国的科学技术研究创造，出资在中国国内设立了“何潘清漪离散事件系统论文奖”，并在清华大学自动控制系设立了“何潘清漪奖学金”,,,,,
王晓冬,王晓冬,,,,中国,汉族,,山东,10月30日(农历),演员、模特,,,,,,,华中师范大学表演系,,,,闻香识徒、跨界厨师,,,,,,,,,
埃尔娜·索尔贝格,埃尔娜·索尔贝格,挪威语:Erna Solberg,,,挪威,,,挪威卑尔根,1961年2月24日,,挪威首相,,,,,,卑尔根大学,,,,"《人民,不是亿万富翁》",,,,,,,,,
戈登·布朗,戈登·布朗,James Gordon Brown,,,英国,苏格兰,,苏格兰格拉斯哥,1951年2月20日,英国首相,,,,工党,,,爱丁堡大学,,,英国财政大臣(1997-2007年)英国首相(2007-2010年),,,,"传记评价
《戈登·布朗：他的过去、现在和将来》（[英] 贝克特著）：
在英国，人们总是把“不苟言笑”一词与“苏格兰人”联系在一起，这就是公众对戈登·布朗的看法与事实大相径庭的原因。私下里的布朗幽默风趣、学识渊博、风度翩翩；嗓音轻柔悦耳，极富磁性，笑起来那声音如泉水汨汩作响，甚是欢快。 

公众评价
英国前首相戈登·布朗被英国历史学家评为战后倒数第三差的首相。
超过100名历史学家投票对英国战后12名首相进行了评价。专家们认为虽然布朗在应对银行业危机方面的成绩有目共睹，但他留下的巨额债务问题是个败笔。
而布朗2005、2006年的预算报告书虽然篇幅颇长，但其语言却堪称精练，几乎每段就一句话，每一句话没有一点儿拖泥带水、故弄玄虚。 ",,,,,,
卡桑德拉,卡桑德拉,,,男,俄国,,,,,艺术家,,,,,,,,,,,,,,,,,,,,
特洛伊,特洛伊,Troy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埃博拉,埃博拉病毒,Ebola virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘冰,刘冰,,,,中国,汉,,河南伊川,1921年12月7日,,,,,,,,延安抗日军政大学,,共产主义,,,,,,,,,,,
顾浩,顾浩,,顾惠明、顾金锁,,中国,汉,,江苏省南通市通州区,1940年1月5日,公务员,,,,,,,江苏师范学院(苏州大学),,共产主义,"曾任中共江苏省委副书记,南京市委书记",《金陵春草》《江海涛声》《盛世风情》《神州凯歌》,,,,,,,,,
巴哈尔,巴哈尔,,,,伊朗,,,马什哈德,,"诗人,学者",,,,,,,,,,1904年被封为诗人之王,,,,,,,,,,
明尼苏达,,,北星之州、千湖之州,,,,,,,,,,,,,,,,,,,,,,,,,,,
佩雷拉,若泽·克莱贝松·佩雷拉,José Kléberson Pereira,,,巴西,,,巴西乌拉伊,1979年6月19日,,,,,,,,,,,,,,,,,,,,,
李彦宏,李彦宏,Robin Li,AI先生(Mr. AI)[6] ,,中国,汉族,,山西省阳泉市,1968年11月17日,百度董事长兼首席执行官,,,,,,,"北京大学,布法罗纽约州立大学",,,"发明超链分析技术并获美国专利[1] 商业周刊2006年全球最佳商业领袖[1] 2008年中国改革开放30年30人[7] 福布斯全球最具影响力人物[1] 2018年被授予改革先锋称号,颁授改革先锋奖章[4] ",,,,"海归创业报国推动科技创新的优秀代表：他在上世纪90年代率先深入研究搜索引擎技术，拥有“超链分析”技术专利。他注重人工智能前沿科技研究，推动人工智能、大数据等技术与制造、汽车、教育、金融、生活服务等领域的深度融合及在社会治理方面的应用，助力我国经济的高质量发展和智慧城市的构建。（庆祝改革开放四十周年“改革先锋”） 
人工智能正以中国速度改变世界。在中国，没有人比李彦宏更看重这个挑战。他相信百度掌握了中国最大的优势——规模，就能主导全球人工智能市场。李彦宏正帮中国在21世纪赢得胜利。（《时代周刊》亚洲版） 
百度创始人李彦宏是获选的唯一中国面孔，他创立的百度是中国人工智能领域技术积累最深、布局领域最广的代表性公司。（《哈佛商业评论》：全球最受关注十大AI领军人物榜单） 
“三年前，我全身心地投入到基金会工作之中。我会向身边的人谈起疟疾、结核病等问题，这让他们觉得很烦。但是Robin（李彦宏）能够一直对这些事情保持足够的热情，我们互相鼓励、互通有无。”（比尔·盖茨）  
""（李彦宏""超链分析技术""专利）这项技术专利具有象征意义，象征着知识或者智慧的进程、创造，最终促成了一个新产业的出现。""（时任美国驻华大使骆家辉） 
2018年，李彦宏在第十七届世界烟草或健康大会上用视频发声，呼吁社会力量尤其是企业家加入控烟行列。此控烟倡议一提出，立刻获得WHO全球总干事谭德塞博士的肯定。他表示，在争取“无烟世界”的斗争中，我们需要政府、民间团体、创新者、科技领导者的加入，很高兴李彦宏先生能够参与到这项事业当中。不仅如此，李彦宏的控烟倡议还获得世界卫生组织、联合国、盖茨基金会的支持，纷纷转发倡议视频。（WHO全球总干事谭德塞博士：点赞李彦宏 “控烟倡议”）",,,,,,
卡莉·菲奥莉娜,卡莉·菲奥莉娜,Carly S. Fiorina,,女,,,,,1954年9月,惠普公司首席执行官,,,,,,,斯坦福大学,,,惠普公司前董事会主席兼首席执行官,,,,"美国《商业周刊》在菲奥莉娜刚上任的报导中，对她的形容就是：“她有如簧之舌，亦富钢铁意志。
她的一位同事说，“卡莉·费奥利那似乎永远都能把别人的要求和目标记得一清二楚。在她的字典里，定义一个问题与解决一个问题并无区别。”",,,,,,
得克萨斯,,,孤星之州,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏亚雷斯,路易斯·阿尔韦托·苏亚雷斯·迪亚斯,Luis Alberto Suárez Díaz,路易斯·苏亚雷斯(Luis Suárez),,乌拉圭、意大利,,,乌拉圭萨尔托,1987年1月24日,,,,,,,,,,,,,,,"苏亚雷斯是捕捉机会的能力超强，禁区内的终结者。（国际足联评[70]）苏亚雷斯是乌拉圭历史上最具天赋的足球天才之一。（乌拉圭媒体评）
苏亚雷斯是一个顶级球员，他能带领球队胜利，很多球队希望得到他。（阿森纳教父阿尔赛纳·温格评）[72]苏亚雷斯是顶尖的球员，是世界上最优秀的球员之一。（史蒂文·杰拉德评价）
苏亚雷斯盘带、射门技术一流，既可以出任中锋也能在前场边路活动，是一位难得全能型攻击手。除了带球突破和射门之外，苏亚雷斯还能为队友输送炮弹。在乌拉圭国家队中，苏亚雷斯和弗兰是球队的正选前锋。苏亚雷斯的弱点就是速度不够快，带球缺乏节奏感和爆发力。（网易体育评）",,,,,,
斯皮尔,斯皮尔, Speare,,,英格兰,,,利物浦(英格兰),1976/11/5,,,,,,,,,,,,,,,,,,,,,
戴维德,戴维德, Edgeworth Beresford David,,,英国,,,英国伦敦杜尔维治,1908年6月12日,,,,,,,,,,,,,,,,,,,,,
彼得,圣伯多禄,St Peter,彼得,,罗马帝国,犹太族,,伯赛大,公元1年,"渔夫,传教士",,,,,,,,,基督教,"耶稣得意门生,十二使徒之首,倒钉十字架",《彼得前书》《彼得后书》,,,,"行审判：使徒时代教会成立之初，有许多人因爱主爱人，把自己的全部产业卖了，并且全部款项奉献给教会（徒4：34），其中有位信徒名叫亚拿尼亚，夫妻二人也把田产卖了，但信心不足又好面子，把部分价银私留下来，其余的拿到使徒面前，而称那是全部价银，彼得被圣灵感动，立即指出他们的过错，而这对夫妇也相继死亡（徒5：1-11）。
立执事：那时信主的人增加迅速，大家又凡物公用，一起生活，因此为了使徒生活供给之事能妥善处理，就令门徒选立出执事（徒6：1-6），解决了供给之事。",,,,,
莫德纳,莫德纳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李晓宇,李晓宇,,,,中国,汉族,,四川盐亭,1963年6月,公务员,,,,,,,四川省委党校,研究生学历,,,,,,,,,,,,
达赖喇嘛,达赖喇嘛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乔治·伊斯曼,乔治·伊士曼,George Eastman,,男,美国,,,纽约,1854年7月12日,,,,,,,,,,,柯达的创始人,,,,,,,,,,
布朗尼,布朗尼,Chocolate Brownie,巧克力布朗尼蛋糕、核桃布朗尼蛋糕、波斯顿布朗尼,,,,,,,,,,,,,,,,,,,,,,,,,,,
爱德华兹,罗伯特·爱德华兹,Robert G. Edwards,,,英国,,,英格兰曼彻斯特,1925年6月8日,,,剑桥大学教授,,,,,北威尔士大学农业和动物学专业,,,被誉为“试管婴儿之父”,创办《人类生殖》杂志,,,,,,,,,
萨克斯,萨克斯,Saxophone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杰弗瑞·萨克斯,杰弗瑞·萨克斯,Geoffrey Sax,,,,,,,,导演,,,,,,,,,,,,,,,,,,,,
福林,福林,Hungarian Forint ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,,BEN,Benjamin Linus,,美国,,,,1963/12/22,"前DHARMA工作人员(Work man),The Others[TO] 的Boss",,,,,,,,,,,,,,,,,,,,
贾斯汀,贾斯汀·比伯,Justin Bieber,J.B、JBiebs、B宝,,加拿大,,,加拿大斯特拉特福,1994年3月1日,歌手、演员,,,,,,,,,,,BabyBoyfriendAs Long As You Love MeSorryWhat Do You Mean?展开代表作品BabyBoyfriendAs Long As You Love MeSorryWhat Do You Mean?Love YourselfFriendsLet Me Love YouI'm The OneChanges收起,,,"贾斯汀·比伯可以说是“出名要趁早”的典范。用“狂热”两个字可能已不足以形容他在流行乐坛掀起的潮流。他在面对如此多的名利诱惑时却表现得谨慎而冷静  。他除了在音乐上的才华，创作、打鼓、跳舞、弹吉他、弹琴、小号样样行   。他呈现各方位优质的态势，逐步晋升成为欧美乐坛里坚挺的潮流实力。他在主业R&B方面进取深耕，性感、柔和、律动等方面逐步完善。在此基础上，另外涉及电音等其它领域时，同样能够奉献出地道表现   。（新浪、南方网、网易评）
贾斯汀·比伯凭借上天赋予的完美声线，俘获了万千少男少女的心 [99]  。而他清脆如天籁的嗓音，更是为自己走到台前创造了良好条件   。这个长相帅气的少年在音乐上表现出的才华使他老少通吃 [101]  。除赚钱能力外，贾斯汀比伯在社交媒体上的巨大影响力更令人惊讶   。拥有大量粉丝、日渐成熟的他，依然保持着自己的节奏和创作力，能在音乐这条路上走得更远  。（南方网、《今日早报》、《潇湘晨报》、《成都商报》、《新京报》评）",,,,,,
阿里,穆罕默德·阿里,Muhammad Ali,"原名:Cassius Marcellus Clay,Jr.(小凯瑟斯·马塞勒斯·克莱)",,美国,,,美国肯塔基州路易斯维尔,1942年1月17日,,,,,,,,,,,,,,,,,,,,,
贾思敏,贾思敏,Jasmine,,女,,,,,,,,,,,,,,,,,,,,,,,,,,
曼萨·穆萨,曼萨·穆萨,Mansa Musa,曼萨·康康·穆萨,男,马里帝国,,,,1300年和1310年之间出生,14世纪马里帝国的国王,,,,,,,,,伊斯兰教,朝圣(麦加)赞助伊斯兰奖学金,,,,"继位之后，曼萨·穆萨加强中央集权，继续开疆拓土，打开通向世界其他地区的绿洲大道。凭借西非最庞大的常备军，他志得意满地享受“众王之王”的尊号，而挥金如土的排场，则令他被外国人称为“金矿之王”。1324年开始的洒满黄金的麦加朝圣之行，使欧洲和中东人充分认识到这个西非国家的繁华，大大促进了跨撒哈拉沙漠的贸易和文化交往。而他留下最大的遗产是廷巴克图，这座城市在曼萨·穆萨的经营下成为伊斯兰世界的一大文化中心。
一位当时的历史学家曾经这样评论曼沙·穆萨：在西非各国的领导人中，他是“最强大、最富有、最幸运的人，也是最能使敌人感到害怕，最能为朋友提供帮助的人。”",,,,,,
穆萨,摩西,Moses,,,古埃及,希伯来,,歌珊地,约前1525年,领袖,,,,,,,,,犹太教,创立犹太教、著述圣经前五卷,《创世记》、《出埃及记》、《利未记》、《民数记》、《申命记》,,西坡拉,,,,,,,
弗雷德里克·道格拉斯,弗雷德里克·道格拉斯,Frederick Douglass,,,美国,,,马里兰州塔尔波特县,1817年2月,,,,,,,,,,,投身于废奴运动,,,,"道格拉斯，不但是一位杰出的政治家和黑人领袖，还是一为杰出的文学家。道格拉斯对美国黑人文学作出了杰出的贡献，他的三部自传是美国黑人文学的开山之作，1840年的《弗雷德里克·道格拉斯：一个美国奴隶的叙述》；1855年的《我的奴隶生涯和我的自由》；以及1881年的《弗雷德里克·道格拉斯的生平和时代》。这三部自传奠定了道格拉斯在美国文学史上的地位。道格拉斯的每部自传的出版都引起轰动，他在书中猛烈地抨击了奴隶制和种族歧视，大大推动了美国乃至世界性的废奴运动及反种族歧视运动。
道格拉斯是第一位获得举国承认的美国黑人领袖。在废奴运动中，道格拉斯是美国历史上第一位优秀的黑人思想家和政治家。道格拉斯很早就看出十九世纪中叶，美国面临的主要问题是黑人与白人的关系问题，即奴隶制问题。这个见解击中了当时美国社会的要害。道格拉斯善于把使黑人领导层的对立因素结合在一起，使黑人力量团结一致，发挥作用。内战前后，道格拉斯是一位不知疲倦的著作家、演说家和政治领袖。道格拉斯气宇轩昂，言词犀利，其奋斗目标既有现实性，又有原则性；他是在为废奴而战，为人权而战，也是在为促成黑人的自助精神而战。在南方重建时期，道格拉斯长期为之奋斗的平等和进步很有可能成为现实，但是一八七七年的妥协案、凌辱歧视和私刑拷打等趋势的抬头，使美国黑人在道格拉斯去世后，再次陷入历史上最暗淡的时期。",,,,,,
王尔德,奥斯卡·王尔德,Oscar Fingal O’Flahertie Wills Wilde,,,爱尔兰,,,爱尔兰都柏林,1854年10月16日(星期一),,,,,,,,"都柏林圣三一学院,牛津大学",,晚年信奉天主教,,《道林·格雷的画像》,,,"王尔德富有过人的自信和天赋，虽然他的晚年极为潦倒，但他的艺术成就仍使他成为世界经典的艺术家。他的童话也赢得了广大读者的青睐，王尔德也因此被誉为“童话王子”。
王尔德是英国唯美主义运动的倡导者，19世纪与萧伯纳齐名的英国才子，他一生中就写过九篇童话，但每一篇都是精华，他的童话作品可以与安徒生童话和格林童话相媲美。","他被誉为“才子和戏剧家”。最体现王尔德才华的，不是童话，也不是短篇小说，而是《道林·格雷的画像》等长篇小说，以及《温德米尔夫人的扇子》《莎乐美》等戏剧作品，其戏剧作品堪称一时之绝唱。建立起以享乐主义为基础的唯美主义思想，并成为英国唯美主义的代表人物。他在《道林·格雷的画像》的序言和论文集《意图》中系统阐述“为艺术而艺术”的美学观点，认为作品的价值在于艺术形式的完美，而与社会伦理道德无关。后接连发表风俗喜剧《理想的丈夫》（1898）等，演出后颇受欢迎。1895年《认真的重要》被认为是他的代表剧作。
唯美主义哲学尖锐批判了当时的物质社会和庸人主义。倡导人应该在生活中发现美、鉴别美、享受美，充分地展现个性。王尔德作为唯美主义的倡导者和实践者，无论是他的主张还是他的个性或者作品都是充满魅力的。王尔德醉心于艺术形式美的追寻，其断言只有风格才能使艺术不朽。王尔德不仅在服饰、装饰、语言的表达以及行为举止等人生的各方面创造了绚烂多彩的审美形式，并成功折射到他的作品中去。
王尔德对唯美主义的探求，拓展了美的领域和艺术表现的范围，提高了艺术表现的能力，为艺术发展提供了若干可资后人借鉴和研究的新经验，新因素，这也未尝不是艺术上的一种有益的探索和进步。",,,,,
凌飞,凌飞,,,,中国,汉族,,河北省,,"歌手,演员。",,,,,,,,,,,《我的爱有罪》、《印度洋的眼泪》、《错误的选择》,,,,,,,,,
林垚,林垚,,,,,,,,1937年,,,,,,,,北京大学,,,,,,,,,,,,,
陈玉平,陈玉平,,,,中国,汉,,,1947年,,,,,,,,,,,,,,,,,,,,,
